"selection1_name","selection1_selection2"
"The Entrepreneur","4.6 out of 5 stars"
"Krishnamurti's Notebook","4.8 out of 5 stars"
"The Complete Novels of Sherlock Holmes","4.5 out of 5 stars"
"Apke Avchetan Man Ki Shakti તમારું અર્ધજાગ્રત મનની શક્તિ (The Power of Your Subconscious Mind in Gujarati)","4.5 out of 5 stars"
"•|| रामराज्य ||• Ramrajya","4.7 out of 5 stars"
"Motivation - Adult Colouring Book for Peace & Relaxation","4.5 out of 5 stars"
"Picture Books Collection for Early Learning (Set of 12)","4.2 out of 5 stars"
"Here, There and Everywhere: Best-Loved Stories of Sudha Murty","4.7 out of 5 stars"
"EMRS-Eklavya Model Residential Schools -PGT Exam: Teaching Aptitude & Pedagogy Common For All Subjects (Teacher Recruitment Exams)",""
"To My Dear Brother: A Fill-in-the-Blank Gift for Brother | Birthday Gift for Brother | Raksha Bandhan Gift (english)",""
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and Numbers 1 to 10)","4.4 out of 5 stars"
"Amazon Brand - Solimo Board Books for Kids (Set of 10)","4.5 out of 5 stars"
"The 10X Rule: The Only Difference Between Success and Failure","4.6 out of 5 stars"
"World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set","4.5 out of 5 stars"
"Hero ki Kahani: Chaar Bhaiyon Ka Audhyogik Chamatkaar",""
"The Book Thief (Definitions Young Adult)","4.6 out of 5 stars"
"Educart All Subjects Final Revision Book Of CBSE Class 10 Strictly For May 2021 Exam (Objective Maps + Case based Q + Sample Paper)","4.4 out of 5 stars"
"Table Book: Tables 1 to 40: Tables 1 - 40","4.6 out of 5 stars"
"Here, There and Everywhere: Best-Loved Stories of Sudha Murty","4.7 out of 5 stars"
"101 Spot the Differences : Fun Activity Books For Children (With Answer sheets)","4.6 out of 5 stars"
"My Activity- ABC Writing Book","4.4 out of 5 stars"
"Refreshing Mandala - Colouring Book for Adults Book 1","4.6 out of 5 stars"
